CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,2021-09-12,2021,REG,1,WAS,0,2,9,0,0,0,0,0,4,8
2,2021-09-16,2021,REG,2,WAS,0,0,0,0,0,0,0,0,0,12
3,2021-09-26,2021,REG,3,WAS,0,0,0,0,0,0,0,0,0,14
4,2021-10-03,2021,REG,4,WAS,0,2,1,0,1,1,11,0,5,7
5,2021-10-10,2021,REG,5,WAS,0,4,13,0,0,0,0,0,5,5
6,2021-10-17,2021,REG,6,WAS,0,1,5,0,1,1,-2,0,2,6
7,2021-10-24,2021,REG,7,WAS,0,0,0,0,0,0,0,0,1,6
8,2021-10-31,2021,REG,8,WAS,0,11,46,0,1,0,0,0,16,0
0,,2021,BYE,9,WAS,0,0,0,0,0,0,0,0,0,0
9,2021-11-14,2021,REG,10,WAS,0,4,7,0,0,0,0,0,5,4
10,2021-11-21,2021,REG,11,WAS,0,7,23,0,0,0,0,0,13,4
11,2021-11-29,2021,REG,12,WAS,0,1,0,0,0,0,0,0,3,4
12,2021-12-05,2021,REG,13,WAS,0,1,2,0,0,0,0,0,4,1
13,2021-12-12,2021,REG,14,WAS,0,4,29,0,1,1,9,0,12,0
14,2021-12-21,2021,REG,15,WAS,0,4,20,1,0,0,0,0,10,0
15,2021-12-26,2021,REG,16,WAS,0,9,33,0,0,0,0,0,15,0
16,2022-01-02,2021,REG,17,WAS,1,12,57,1,5,5,41,0,39,0
17,2022-01-09,2021,REG,18,WAS,0,6,21,0,2,2,14,0,17,0
0,2022-09-11,2022,DNP,1,WAS,0,0,0,0,0,0,0,0,0,0
0,2022-09-18,2022,DNP,2,WAS,0,0,0,0,0,0,0,0,0,0
0,2022-09-25,2022,DNP,3,WAS,0,0,0,0,0,0,0,0,0,0
0,2022-10-02,2022,DNP,4,WAS,0,0,0,0,0,0,0,0,0,0
0,2022-10-09,2022,DNP,5,WAS,0,0,0,0,0,0,0,0,0,0
0,2022-10-13,2022,DNP,6,WAS,0,0,0,0,0,0,0,0,0,0
0,2022-10-23,2022,DNP,7,WAS,0,0,0,0,0,0,0,0,0,0
0,2022-10-30,2022,DNP,8,WAS,0,0,0,0,0,0,0,0,0,0
0,2022-11-06,2022,DNP,9,WAS,0,0,0,0,0,0,0,0,0,0
18,2022-11-14,2022,REG,10,WAS,0,0,0,0,0,0,0,0,0,4
0,2022-11-20,2022,DNP,11,WAS,0,0,0,0,0,0,0,0,0,0
0,2022-11-27,2022,DNP,12,WAS,0,0,0,0,0,0,0,0,0,0
0,2022-12-04,2022,DNP,13,WAS,0,0,0,0,0,0,0,0,0,0
0,,2022,BYE,14,WAS,0,0,0,0,0,0,0,0,0,0
0,2022-12-18,2022,DNP,15,WAS,0,0,0,0,0,0,0,0,0,0
0,2022-12-24,2022,DNP,16,WAS,0,0,0,0,0,0,0,0,0,0
19,2023-01-01,2022,REG,17,WAS,0,0,0,0,0,0,0,0,0,5
20,2023-01-08,2022,REG,18,WAS,0,17,78,0,1,0,0,0,33,2
0,2024-09-08,2024,DNP,1,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-09-15,2024,DNP,2,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-09-22,2024,DNP,3,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-09-29,2024,DNP,4,LAC,0,0,0,0,0,0,0,0,0,0
0,,2024,BYE,5,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-10-13,2024,DNP,6,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-10-21,2024,DNP,7,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-10-27,2024,DNP,8,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-11-03,2024,DNP,9,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-11-10,2024,DNP,10,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-11-17,2024,DNP,11,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-11-25,2024,DNP,12,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-12-01,2024,DNP,13,LAC,0,0,0,0,0,0,0,0,0,0
21,2024-12-08,2024,REG,14,LAC,0,0,0,0,0,0,0,0,0,1
0,2024-12-15,2024,DNP,15,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-12-19,2024,DNP,16,LAC,0,0,0,0,0,0,0,0,0,0
0,2024-12-28,2024,DNP,17,LAC,0,0,0,0,0,0,0,0,0,0
0,2025-01-05,2024,DNP,18,LAC,0,0,0,0,0,0,0,0,0,0
