CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2024-09-08,2024,REG,1,LAR,0,0,0,0,0,0,0,0,0,0.0,9,34.6
2,2024-09-15,2024,REG,2,LAR,0,8,28,0,0,0,0,0,8,15.4,11,44.0
3,2024-09-22,2024,REG,3,LAR,0,0,0,0,0,0,0,0,0,0.0,7,25.9
4,2024-09-29,2024,REG,4,LAR,0,0,0,0,0,0,0,0,0,0.0,16,61.5
5,2024-10-06,2024,REG,5,LAR,0,5,25,0,1,1,8,0,11,14.1,13,59.1
0,1970-01-01,2024,BYE,6,LAR,0,0,0,0,0,0,0,0,0,0.0,0,0.0
6,2024-10-20,2024,REG,7,LAR,0,3,11,0,0,0,0,0,6,10.9,11,39.3
7,2024-10-24,2024,REG,8,LAR,0,4,9,0,1,1,9,0,8,11.1,13,52.0
8,2024-11-03,2024,REG,9,LAR,0,1,-1,0,0,0,0,0,1,1.3,20,62.5
9,2024-11-11,2024,REG,10,LAR,0,2,8,0,1,1,7,0,5,7.1,8,28.6
10,2024-11-17,2024,REG,11,LAR,0,5,21,0,1,1,7,0,10,19.2,10,37.0
11,2024-11-24,2024,REG,12,LAR,0,1,5,0,0,0,0,0,6,9.4,10,35.7
12,2024-12-01,2024,REG,13,LAR,0,8,42,0,0,0,0,0,18,32.1,10,47.6
13,2024-12-08,2024,REG,14,LAR,0,8,34,0,0,0,0,0,13,16.9,16,48.5
14,2024-12-12,2024,REG,15,LAR,0,3,5,0,3,2,15,0,9,13.8,17,63.0
15,2024-12-22,2024,REG,16,LAR,0,5,14,0,0,0,0,0,9,17.3,7,43.8
16,2024-12-28,2024,REG,17,LAR,0,3,-4,0,0,0,0,0,3,5.3,5,22.7
17,2025-01-05,2024,REG,18,LAR,1,2,10,0,1,1,12,0,12,18.2,3,11.1
